1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7400000037212521
Is Mission Active?  true
Mission Start:  Fri Aug 04 15:19:00 BST 2017
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  428
Total Samples:  56849
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
04/08/17 15:19:00,C,28.5
04/08/17 15:29:00,C,23
04/08/17 15:39:00,C,23
04/08/17 15:49:00,C,23
04/08/17 15:59:00,C,23
04/08/17 16:09:00,C,23
04/08/17 16:19:00,C,23
04/08/17 16:29:00,C,23
04/08/17 16:39:00,C,23
04/08/17 16:49:00,C,23
04/08/17 16:59:00,C,23
04/08/17 17:09:00,C,23
04/08/17 17:19:00,C,23
04/08/17 17:29:00,C,23
04/08/17 17:39:00,C,23
04/08/17 17:49:00,C,23
04/08/17 17:59:00,C,23
04/08/17 18:09:00,C,23
04/08/17 18:19:00,C,23
04/08/17 18:29:00,C,22.5
04/08/17 18:39:00,C,22.5
04/08/17 18:49:00,C,22.5
04/08/17 18:59:00,C,22.5
04/08/17 19:09:00,C,22.5
04/08/17 19:19:00,C,22.5
04/08/17 19:29:00,C,22.5
04/08/17 19:39:00,C,22.5
04/08/17 19:49:00,C,22.5
04/08/17 19:59:00,C,22.5
04/08/17 20:09:00,C,22
04/08/17 20:19:00,C,22
04/08/17 20:29:00,C,22
04/08/17 20:39:00,C,22
04/08/17 20:49:00,C,22
04/08/17 20:59:00,C,22
04/08/17 21:09:00,C,21.5
04/08/17 21:19:00,C,21
04/08/17 21:29:00,C,21
04/08/17 21:39:00,C,20.5
04/08/17 21:49:00,C,20
04/08/17 21:59:00,C,20
04/08/17 22:09:00,C,20
04/08/17 22:19:00,C,20.5
04/08/17 22:29:00,C,20.5
04/08/17 22:39:00,C,20.5
04/08/17 22:49:00,C,20.5
04/08/17 22:59:00,C,20.5
04/08/17 23:09:00,C,20.5
04/08/17 23:19:00,C,20.5
04/08/17 23:29:00,C,20.5
04/08/17 23:39:00,C,20.5
04/08/17 23:49:00,C,20.5
04/08/17 23:59:00,C,20.5
05/08/17 00:09:00,C,20.5
05/08/17 00:19:00,C,20.5
05/08/17 00:29:00,C,20.5
05/08/17 00:39:00,C,20.5
05/08/17 00:49:00,C,21
05/08/17 00:59:00,C,20.5
05/08/17 01:09:00,C,20.5
05/08/17 01:19:00,C,20.5
05/08/17 01:29:00,C,20.5
05/08/17 01:39:00,C,20.5
05/08/17 01:49:00,C,20.5
05/08/17 01:59:00,C,20.5
05/08/17 02:09:00,C,20.5
05/08/17 02:19:00,C,20.5
05/08/17 02:29:00,C,20.5
05/08/17 02:39:00,C,21
05/08/17 02:49:00,C,20.5
05/08/17 02:59:00,C,20.5
05/08/17 03:09:00,C,20.5
05/08/17 03:19:00,C,20.5
05/08/17 03:29:00,C,20.5
05/08/17 03:39:00,C,20.5
05/08/17 03:49:00,C,20.5
05/08/17 03:59:00,C,20.5
05/08/17 04:09:00,C,20.5
05/08/17 04:19:00,C,20.5
05/08/17 04:29:00,C,20.5
05/08/17 04:39:00,C,20.5
05/08/17 04:49:00,C,20.5
05/08/17 04:59:00,C,20.5
05/08/17 05:09:00,C,20.5
05/08/17 05:19:00,C,20.5
05/08/17 05:29:00,C,20.5
05/08/17 05:39:00,C,20.5
05/08/17 05:49:00,C,20.5
05/08/17 05:59:00,C,20.5
05/08/17 06:09:00,C,20.5
05/08/17 06:19:00,C,20.5
05/08/17 06:29:00,C,20.5
05/08/17 06:39:00,C,20.5
05/08/17 06:49:00,C,20.5
05/08/17 06:59:00,C,20.5
05/08/17 07:09:00,C,20.5
05/08/17 07:19:00,C,20.5
05/08/17 07:29:00,C,20.5
05/08/17 07:39:00,C,20.5
05/08/17 07:49:00,C,20.5
05/08/17 07:59:00,C,21
05/08/17 08:09:00,C,21
05/08/17 08:19:00,C,21
05/08/17 08:29:00,C,21
05/08/17 08:39:00,C,21
05/08/17 08:49:00,C,21
05/08/17 08:59:00,C,21
05/08/17 09:09:00,C,21
05/08/17 09:19:00,C,21.5
05/08/17 09:29:00,C,21.5
05/08/17 09:39:00,C,22
05/08/17 09:49:00,C,22
05/08/17 09:59:00,C,22
05/08/17 10:09:00,C,22
05/08/17 10:19:00,C,22
05/08/17 10:29:00,C,22
05/08/17 10:39:00,C,22
05/08/17 10:49:00,C,22
05/08/17 10:59:00,C,22
05/08/17 11:09:00,C,22
05/08/17 11:19:00,C,22
05/08/17 11:29:00,C,22
05/08/17 11:39:00,C,22
05/08/17 11:49:00,C,22
05/08/17 11:59:00,C,22
05/08/17 12:09:00,C,22.5
05/08/17 12:19:00,C,22.5
05/08/17 12:29:00,C,22.5
05/08/17 12:39:00,C,22.5
05/08/17 12:49:00,C,22.5
05/08/17 12:59:00,C,22.5
05/08/17 13:09:00,C,22.5
05/08/17 13:19:00,C,22.5
05/08/17 13:29:00,C,23
05/08/17 13:39:00,C,23
05/08/17 13:49:00,C,23
05/08/17 13:59:00,C,23
05/08/17 14:09:00,C,23
05/08/17 14:19:00,C,23
05/08/17 14:29:00,C,23
05/08/17 14:39:00,C,23
05/08/17 14:49:00,C,23
05/08/17 14:59:00,C,23
05/08/17 15:09:00,C,23.5
05/08/17 15:19:00,C,23.5
05/08/17 15:29:00,C,23.5
05/08/17 15:39:00,C,23.5
05/08/17 15:49:00,C,23.5
05/08/17 15:59:00,C,24
