1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: F800000037141421
Is Mission Active?  true
Mission Start:  Thu Aug 03 11:14:00 BST 2017
Sample Rate:  Every 10 minute(s)
Number of Mission Samples:  597
Total Samples:  42202
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
03/08/17 11:14:00,C,27.5
03/08/17 11:24:00,C,22
03/08/17 11:34:00,C,22
03/08/17 11:44:00,C,22
03/08/17 11:54:00,C,22
03/08/17 12:04:00,C,22
03/08/17 12:14:00,C,22.5
03/08/17 12:24:00,C,22.5
03/08/17 12:34:00,C,22.5
03/08/17 12:44:00,C,22.5
03/08/17 12:54:00,C,22.5
03/08/17 13:04:00,C,22.5
03/08/17 13:14:00,C,22.5
03/08/17 13:24:00,C,22.5
03/08/17 13:34:00,C,22.5
03/08/17 13:44:00,C,22.5
03/08/17 13:54:00,C,23
03/08/17 14:04:00,C,23
03/08/17 14:14:00,C,23
03/08/17 14:24:00,C,22.5
03/08/17 14:34:00,C,22.5
03/08/17 14:44:00,C,22.5
03/08/17 14:54:00,C,22.5
03/08/17 15:04:00,C,22.5
03/08/17 15:14:00,C,22.5
03/08/17 15:24:00,C,22.5
03/08/17 15:34:00,C,22.5
03/08/17 15:44:00,C,22.5
03/08/17 15:54:00,C,22.5
03/08/17 16:04:00,C,22.5
03/08/17 16:14:00,C,22.5
03/08/17 16:24:00,C,22.5
03/08/17 16:34:00,C,23
03/08/17 16:44:00,C,23
03/08/17 16:54:00,C,23
03/08/17 17:04:00,C,22.5
03/08/17 17:14:00,C,22
03/08/17 17:24:00,C,22.5
03/08/17 17:34:00,C,23
03/08/17 17:44:00,C,23
03/08/17 17:54:00,C,23
03/08/17 18:04:00,C,23.5
03/08/17 18:14:00,C,23.5
03/08/17 18:24:00,C,23.5
03/08/17 18:34:00,C,23.5
03/08/17 18:44:00,C,23.5
03/08/17 18:54:00,C,23.5
03/08/17 19:04:00,C,23.5
03/08/17 19:14:00,C,23.5
03/08/17 19:24:00,C,23
03/08/17 19:34:00,C,23
03/08/17 19:44:00,C,23
03/08/17 19:54:00,C,23
03/08/17 20:04:00,C,23
